iter	Passed	Remaining
1571	1008	2199
1572	1009	2199
1573	1010	2198
1574	1010	2198
1575	1011	2197
1576	1012	2197
1577	1013	2196
1578	1014	2197
1579	1014	2196
1580	1015	2196
1581	1016	2195
1582	1017	2195
1583	1017	2194
1584	1018	2194
1585	1019	2193
1586	1019	2193
1587	1020	2192
1588	1021	2192
1589	1021	2191
1590	1022	2191
1591	1023	2190
1592	1024	2190
1593	1024	2189
1594	1025	2189
1595	1026	2188
1596	1026	2188
1597	1027	2187
1598	1028	2187
1599	1029	2186
1600	1029	2186
1601	1030	2186
1602	1031	2186
1603	1032	2185
1604	1033	2185
1605	1033	2184
1606	1034	2184
1607	1035	2183
1608	1036	2183
1609	1036	2182
1610	1037	2182
1611	1038	2181
1612	1038	2181
1613	1039	2181
1614	1040	2180
1615	1041	2180
1616	1041	2179
1617	1042	2179
1618	1043	2178
1619	1043	2178
1620	1044	2177
1621	1045	2177
1622	1046	2176
1623	1046	2176
1624	1047	2175
1625	1048	2175
1626	1048	2174
1627	1049	2174
1628	1050	2173
1629	1051	2173
1630	1051	2172
1631	1052	2172
1632	1053	2171
1633	1054	2171
1634	1054	2170
1635	1055	2170
1636	1056	2169
1637	1056	2169
1638	1057	2168
1639	1058	2168
1640	1059	2167
1641	1059	2167
1642	1060	2166
1643	1061	2166
1644	1062	2166
1645	1062	2165
1646	1063	2165
1647	1064	2164
1648	1064	2164
1649	1065	2163
1650	1066	2163
1651	1067	2162
1652	1067	2162
1653	1068	2161
1654	1069	2161
1655	1069	2160
1656	1070	2160
1657	1071	2159
1658	1072	2159
1659	1072	2158
1660	1073	2158
1661	1074	2157
1662	1075	2157
1663	1075	2156
1664	1076	2156
1665	1077	2155
1666	1077	2155
1667	1078	2154
1668	1079	2154
1669	1080	2153
1670	1080	2153
1671	1081	2152
1672	1082	2152
1673	1083	2151
1674	1083	2151
1675	1084	2150
1676	1085	2150
1677	1085	2149
1678	1086	2149
1679	1087	2148
1680	1088	2148
1681	1088	2147
1682	1089	2147
1683	1090	2146
1684	1090	2146
1685	1091	2145
1686	1092	2145
1687	1093	2144
1688	1093	2144
